timestamp_ms,x,y,z,bias_x,bias_y,bias_z,exp_name
9090721,50.60625,32.0625,-6.5062504,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090741,53.175003,31.312502,-7.18125,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090761,53.925003,31.331251,-7.2937503,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090781,55.18125,31.66875,-7.5000005,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090801,55.893753,32.006252,-8.00625,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090821,56.550003,32.23125,-8.137501,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090841,56.831253,32.268753,-8.043751,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090861,57.16875,32.2125,-8.2875,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090881,58.2,32.325,-8.55,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090901,58.8375,32.5875,-8.85,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090921,59.381252,32.662502,-9.13125,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090941,59.268753,32.568752,-9.1875,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090961,59.250004,32.456253,-8.85,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090981,58.55625,32.4,-8.775001,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091001,58.031254,32.5125,-8.90625,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091021,57.600002,32.41875,-8.606251,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091041,57.281254,32.23125,-8.34375,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091061,56.925003,32.025,-8.2875,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091081,55.968754,31.987501,-7.8750005,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091101,56.04375,32.15625,-7.9687505,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091121,56.287502,32.268753,-8.137501,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091141,56.60625,32.081253,-8.00625,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091161,57.693752,32.081253,-8.3625,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091181,57.91875,32.1375,-8.493751,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091201,57.956253,32.100002,-8.71875,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091221,57.750004,31.987501,-8.55,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091241,59.006252,31.875002,-8.71875,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091261,59.49375,31.5375,-8.7375,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091281,59.756252,31.218752,-8.38125,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091301,60.787502,30.88125,-8.025001,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091321,61.687504,30.45,-7.0312505,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091341,63.318752,30.225,-6.5062504,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091361,65.15625,30.000002,-5.7937503,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091381,67.05,29.98125,-5.11875,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091401,68.25,29.868752,-4.6125,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091421,69.46875,29.812502,-4.18125,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091441,70.856255,29.775002,-4.33125,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091461,72.075005,30.0375,-4.55625,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091481,72.3,30.112501,-4.93125,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091501,72.24375,30.16875,-5.2125,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091521,71.71875,30.31875,-5.4,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091541,71.45625,30.31875,-5.8500004,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091561,71.475006,30.431252,-6.4500003,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091581,71.8125,30.69375,-6.5437503,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091601,72.05625,30.675001,-6.6375003,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091621,72.075005,30.806252,-6.7500005,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091641,72.3375,30.862501,-7.0312505,68.58,66.24,7.56,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
