start_ms,end_ms,type,description,signalClearRecording,height_diff_m,exp_name
1776253120940,1776253662290,outside,,True,3.27,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253662290,1776253689098,up,,True,41.73,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253689098,1776253704022,outside,,True,0.0,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253704022,1776253730274,down,,True,-38.5,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253730274,1776253741096,outside,,True,0.0,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253741096,1776253758547,up,,True,19.25,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253758547,1776253770564,outside,,True,0.0,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253770564,1776253781603,up,,True,3.8500000000000014,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253781603,1776253809546,outside,,True,-3.8500000000000014,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253809546,1776253821222,down,,True,-3.8500000000000014,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253821222,1776253838455,outside,,True,0.0,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253838455,1776253857058,down,,True,-18.1045,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253857058,1776253875643,outside,,True,-3.23,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253875643,1776253888035,up,,True,6.4894,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253888035,1776253902000,outside,,True,7.699999999999999,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253902000,1776253917817,up,,True,11.55,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253917817,1776253933775,outside,,True,3.8500000000000014,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253933775,1776253946964,up,,True,7.699999999999996,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253946964,1776253960453,outside,,True,0.0,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253960453,1776253980132,up,,True,16.900000000000006,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253980132,1776253995730,outside,,True,-3.0,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253995730,1776254008998,down,,True,-6.200000000000003,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254008998,1776254045700,outside,,True,0.0,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254045700,1776254059240,down,,True,-3.8500000000000014,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254060848,1776254076119,down,,True,-11.549999999999995,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254109848,1776254138050,up,,True,24.6,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254138050,1776254151818,outside,,True,0.0,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254151818,1776254179343,down,,True,-43.85,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254179343,1776254286083,outside,,True,0.0,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254286083,1776254302776,down,,True,-14.55,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254302776,1776254355124,outside,,True,4.2,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254355124,1776254371816,up,,True,12.9993,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254371816,1776254458215,outside,,True,0.0,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254076923,1776254097552,down,,True,-20.1042,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
